topic_id,label,positive,negative,neutral,pos_prop,neg_prop,neu_prop,avg_sentiment,review_count
0,Room,4609,4430,273,0.4949527491408935,0.47573024054982815,0.02931701030927835,0.941861421733941,9312
1,Booking Issues,4,53,0,0.07017543859649122,0.9298245614035088,0.0,0.9807454023444862,57
2,Staff,6614,641,125,0.8962059620596206,0.08685636856368564,0.016937669376693765,0.9684171691092696,7380
3,Beach And Resort,1564,2071,103,0.4184055644729802,0.5540395933654361,0.027554842161583736,0.9356345316667235,3738
4,Tourist Attractions,2,2,0,0.5,0.5,0.0,0.9505406469106674,4
